txt	split	style
I know that sounds mean to say, but I don't mean it mean.	train	catcher
I just mean that I used to think about old Spencer quite a lot, and if you thought about him too much, you wondered what the heck he was still living for.	train	catcher
I mean he was all stooped over, and he had very terrible posture, and in class, whenever he dropped a piece of chalk at the blackboard, some guy in the first row always had to get up and pick it up and hand it to him.	train	catcher
That's awful, in my opinion.	train	catcher
But if you thought about him just enough and not too much, you could figure it out that he wasn't doing too bad for himself.	train	catcher
For instance, one Sunday when some other guys and I were over there for hot chocolate, he showed us this old beat-up Navajo blanket that he and Mrs. Spencer'd bought off some Indian in Yellowstone Park.	train	catcher
You could tell old Spencer'd got a big bang out of buying it.	train	catcher
That's what I mean.	train	catcher
You take somebody old as hell, like old Spencer, and they can get a big bang out of buying a blanket.	train	catcher
could see where he was sitting.	train	catcher
He was sitting in a big leather chair, all wrapped up in that blanket	train	catcher
I just told you about.	train	catcher
He looked over at me when I knocked.	train	catcher
Who's that?	train	catcher
he yelled.	train	catcher
Caulfield?	train	catcher
Come in, boy.	train	catcher
He was always yelling, outside class.	train	catcher
It got on your nerves sometimes.	train	catcher
The minute I went in, I was sort of sorry I'd come.	train	catcher
He was reading the Atlantic Monthly, and there were pills and medicine all over the place, and everything smelled like Vicks Nose Drops.	train	catcher
It was pretty depressing.	train	catcher
I'm not too crazy about sick people, anyway.	train	catcher
What made it even more depressing, old Spencer had on this very sad, ratty old bathrobe that he was probably born in or something.	train	catcher
I don't much like to see old guys in their pajamas and bathrobes anyway.	train	catcher
Their bumpy old chests are always showing.	train	catcher
And their legs.	train	catcher
Old guys' legs, at beaches and places, always look so white and unhairy.	train	catcher
Hello, sir, I said.	train	catcher
I got your note.	train	catcher
Thanks a lot.	train	catcher
He'd written me this note asking me to stop by and say good-by before vacation started, on account of I wasn't coming back.	train	catcher
You didn't have to do all that.	train	catcher
I'd have come over to say good-by anyway.	train	catcher
knocked him out.	train	catcher
He started chuckling like a madman.	train	catcher
Then he finally straightened himself out and said, Why aren't you down at the game?	train	catcher
I thought this was the day of the big game.	train	catcher
Boy, his bed was like a rock.	train	catcher
said.	train	catcher
Yes, sir.	train	catcher
I guess I am.	train	catcher
He started going into this nodding routine.	train	catcher
You never saw anybody nod as much in your life as old Spencer did.	train	catcher
You never knew if he was nodding a lot because he was thinking and all, or just because he was a nice old guy that didn't know his ass from his elbow.	train	catcher
Have a seat there, boy, old Spencer said.	train	catcher
He meant the bed.	train	catcher
I sat down on it.	train	catcher
How's your grippe, sir?	train	catcher
M'boy, if I felt any better I'd have to send for the doctor, old Spencer said.	train	catcher
That His door was open, but I sort of knocked on it anyway, just to be polite and all.	train	catcher
I It is.	train	catcher
I was.	train	catcher
Only, I just got back from New York with the fencing team, I said.	train	catcher
He started getting serious as hell.	train	catcher
I knew he would.	train	catcher
So you're leaving us, eh?	train	catcher
he	train	catcher
He said he was going to write them Monday.	train	catcher
Have you yourself communicated with them?	train	catcher
No, sir, I haven't communicated with them, because I'll probably see them	train	catcher
And how do you think they'll take the news?	train	catcher
Well. . .	train	catcher
they'll be pretty irritated about it, I said.	train	catcher
They really will.	train	catcher
This is about Life is a game, boy.	train	catcher
Life is a game that one plays according to the rules.	train	catcher
Yes, sir.	train	catcher
I know it is.	train	catcher
I know it.	train	catcher
Game, my ass.	train	catcher
Some game.	train	catcher
If you get on the side where all the hot-shots are, then What did Dr. Thurmer say to you, boy?	train	catcher
I understand you had quite a little chat.	train	catcher
Yes, we did.	train	catcher
We really did.	train	catcher
I was in his office for around two hours, I guess.	train	catcher
What'd he say to you?	train	catcher
Romeo and Juliet	train	romeo-juliet
Act 2, Scene 2 	train	romeo-juliet
SCENE II. Capulet's orchard.	train	romeo-juliet
Enter ROMEO	train	romeo-juliet
ROMEO	train	romeo-juliet
He jests at scars that never felt a wound.	train	romeo-juliet
JULIET appears above at a window	train	romeo-juliet
But, soft! what light through yonder window breaks?	train	romeo-juliet
It is the east, and Juliet is the sun.	train	romeo-juliet
Arise, fair sun, and kill the envious moon,	train	romeo-juliet
Who is already sick and pale with grief,	train	romeo-juliet
That thou her maid art far more fair than she:	train	romeo-juliet
Be not her maid, since she is envious;	train	romeo-juliet
Her vestal livery is but sick and green	train	romeo-juliet
And none but fools do wear it; cast it off.	train	romeo-juliet
It is my lady, O, it is my love!	train	romeo-juliet
O, that she knew she were!	train	romeo-juliet
She speaks yet she says nothing: what of that?	train	romeo-juliet
Her eye discourses; I will answer it.	train	romeo-juliet
I am too bold, 'tis not to me she speaks:	train	romeo-juliet
Two of the fairest stars in all the heaven,	train	romeo-juliet
Having some business, do entreat her eyes	train	romeo-juliet
To twinkle in their spheres till they return.	train	romeo-juliet
What if her eyes were there, they in her head?	train	romeo-juliet
The brightness of her cheek would shame those stars,	train	romeo-juliet
As daylight doth a lamp; her eyes in heaven	train	romeo-juliet
Would through the airy region stream so bright	train	romeo-juliet
That birds would sing and think it were not night.	train	romeo-juliet
See, how she leans her cheek upon her hand!	train	romeo-juliet
O, that I were a glove upon that hand,	train	romeo-juliet
That I might touch that cheek!	train	romeo-juliet
JULIET	train	romeo-juliet
Ay me!	train	romeo-juliet
ROMEO	train	romeo-juliet
She speaks:	train	romeo-juliet
O, speak again, bright angel! for thou art	train	romeo-juliet
As glorious to this night, being o'er my head	train	romeo-juliet
As is a winged messenger of heaven	train	romeo-juliet
Unto the white-upturned wondering eyes	train	romeo-juliet
Of mortals that fall back to gaze on him	train	romeo-juliet
When he bestrides the lazy-pacing clouds	train	romeo-juliet
And sails upon the bosom of the air.	train	romeo-juliet
JULIET	train	romeo-juliet
O Romeo, Romeo! wherefore art thou Romeo?	train	romeo-juliet
Deny thy father and refuse thy name;	train	romeo-juliet
Or, if thou wilt not, be but sworn my love,	train	romeo-juliet
And I'll no longer be a Capulet.	train	romeo-juliet
ROMEO	train	romeo-juliet
[Aside] Shall I hear more, or shall I speak at this?	train	romeo-juliet
JULIET	train	romeo-juliet
'Tis but thy name that is my enemy;	train	romeo-juliet
Thou art thyself, though not a Montague.	train	romeo-juliet
What's Montague? it is nor hand, nor foot,	train	romeo-juliet
Nor arm, nor face, nor any other part	train	romeo-juliet
Belonging to a man. O, be some other name!	train	romeo-juliet
What's in a name? that which we call a rose	train	romeo-juliet
By any other name would smell as sweet;	train	romeo-juliet
So Romeo would, were he not Romeo call'd,	train	romeo-juliet
Retain that dear perfection which he owes	train	romeo-juliet
Without that title. Romeo, doff thy name,	train	romeo-juliet
And for that name which is no part of thee	train	romeo-juliet
Take all myself.	train	romeo-juliet
ROMEO	train	romeo-juliet
I take thee at thy word:	train	romeo-juliet
Call me but love, and I'll be new baptized;	train	romeo-juliet
Henceforth I never will be Romeo.	train	romeo-juliet
JULIET	train	romeo-juliet
What man art thou that thus bescreen'd in night	train	romeo-juliet
So stumblest on my counsel?	train	romeo-juliet
ROMEO	train	romeo-juliet
By a name	train	romeo-juliet
I know not how to tell thee who I am:	train	romeo-juliet
My name, dear saint, is hateful to myself,	train	romeo-juliet
Because it is an enemy to thee;	train	romeo-juliet
Had I it written, I would tear the word.	train	romeo-juliet
JULIET	train	romeo-juliet
My ears have not yet drunk a hundred words	train	romeo-juliet
Of that tongue's utterance, yet I know the sound:	train	romeo-juliet
Art thou not Romeo and a Montague?	train	romeo-juliet
ROMEO	train	romeo-juliet
Neither, fair saint, if either thee dislike.	train	romeo-juliet
JULIET	train	romeo-juliet
How camest thou hither, tell me, and wherefore?	train	romeo-juliet
The orchard walls are high and hard to climb,	train	romeo-juliet
And the place death, considering who thou art,	train	romeo-juliet
If any of my kinsmen find thee here.	train	romeo-juliet
ROMEO	train	romeo-juliet
With love's light wings did I o'er-perch these walls;	train	romeo-juliet
For stony limits cannot hold love out,	train	romeo-juliet
And what love can do that dares love attempt;	train	romeo-juliet
Therefore thy kinsmen are no let to me.	train	romeo-juliet
JULIET	train	romeo-juliet
If they do see thee, they will murder thee.	train	romeo-juliet
ROMEO	train	romeo-juliet
Alack, there lies more peril in thine eye	train	romeo-juliet
Than twenty of their swords: look thou but sweet,	train	romeo-juliet
And I am proof against their enmity.	train	romeo-juliet
JULIET	train	romeo-juliet
I would not for the world they saw thee here.	train	romeo-juliet
ROMEO	train	romeo-juliet
I have night's cloak to hide me from their sight;	train	romeo-juliet
And but thou love me, let them find me here:	train	romeo-juliet
My life were better ended by their hate,	train	romeo-juliet
Than death prorogued, wanting of thy love.	train	romeo-juliet
JULIET	train	romeo-juliet
By whose direction found'st thou out this place?	train	romeo-juliet
ROMEO	train	romeo-juliet
By love, who first did prompt me to inquire;	train	romeo-juliet
He lent me counsel and I lent him eyes.	train	romeo-juliet
I am no pilot; yet, wert thou as far	train	romeo-juliet
As that vast shore wash'd with the farthest sea,	train	romeo-juliet
I would adventure for such merchandise.	train	romeo-juliet
JULIET	train	romeo-juliet
Thou know'st the mask of night is on my face,	train	romeo-juliet
Else would a maiden blush bepaint my cheek	train	romeo-juliet
For that which thou hast heard me speak to-night	train	romeo-juliet
Fain would I dwell on form, fain, fain deny	train	romeo-juliet
What I have spoke: but farewell compliment!	train	romeo-juliet
Dost thou love me? I know thou wilt say 'Ay,'	train	romeo-juliet
And I will take thy word: yet if thou swear'st,	train	romeo-juliet
Thou mayst prove false; at lovers' perjuries	train	romeo-juliet
Then say, Jove laughs. O gentle Romeo,	train	romeo-juliet
If thou dost love, pronounce it faithfully:	train	romeo-juliet
Or if thou think'st I am too quickly won,	train	romeo-juliet
I'll frown and be perverse an say thee nay,	train	romeo-juliet
So thou wilt woo; but else, not for the world.	train	romeo-juliet
In truth, fair Montague, I am too fond,	train	romeo-juliet
And therefore thou mayst think my 'havior light:	train	romeo-juliet
But trust me, gentleman, I'll prove more true	train	romeo-juliet
Than those that have more cunning to be strange.	train	romeo-juliet
I should have been more strange, I must confess,	train	romeo-juliet
But that thou overheard'st, ere I was ware,	train	romeo-juliet
My true love's passion: therefore pardon me,	train	romeo-juliet
And not impute this yielding to light love,	train	romeo-juliet
Which the dark night hath so discovered.	train	romeo-juliet
ROMEO	train	romeo-juliet
Lady, by yonder blessed moon I swear	train	romeo-juliet
That tips with silver all these fruit-tree tops--	train	romeo-juliet
JULIET	train	romeo-juliet
O, swear not by the moon, the inconstant moon,	train	romeo-juliet
That monthly changes in her circled orb,	train	romeo-juliet
Lest that thy love prove likewise variable.	train	romeo-juliet
ROMEO	train	romeo-juliet
What shall I swear by?	train	romeo-juliet
JULIET	train	romeo-juliet
Do not swear at all;	train	romeo-juliet
Or, if thou wilt, swear by thy gracious self,	train	romeo-juliet
Which is the god of my idolatry,	train	romeo-juliet
And I'll believe thee.	train	romeo-juliet
ROMEO	train	romeo-juliet
If my heart's dear love--	train	romeo-juliet
JULIET	train	romeo-juliet
Well, do not swear: although I joy in thee,	train	romeo-juliet
I have no joy of this contract to-night:	train	romeo-juliet
It is too rash, too unadvised, too sudden;	train	romeo-juliet
Too like the lightning, which doth cease to be	train	romeo-juliet
Ere one can say 'It lightens.' Sweet, good night!	train	romeo-juliet
This bud of love, by summer's ripening breath,	train	romeo-juliet
May prove a beauteous flower when next we meet.	train	romeo-juliet
Good night, good night! as sweet repose and rest	train	romeo-juliet
Come to thy heart as that within my breast!	train	romeo-juliet
ROMEO	train	romeo-juliet
O, wilt thou leave me so unsatisfied?	train	romeo-juliet
JULIET	train	romeo-juliet
What satisfaction canst thou have to-night?	train	romeo-juliet
ROMEO	train	romeo-juliet
The exchange of thy love's faithful vow for mine.	train	romeo-juliet
JULIET	train	romeo-juliet
I gave thee mine before thou didst request it:	train	romeo-juliet
And yet I would it were to give again.	train	romeo-juliet
ROMEO	train	romeo-juliet
Wouldst thou withdraw it? for what purpose, love?	train	romeo-juliet
JULIET	train	romeo-juliet
But to be frank, and give it thee again.	train	romeo-juliet
And yet I wish but for the thing I have:	train	romeo-juliet
My bounty is as boundless as the sea,	train	romeo-juliet
My love as deep; the more I give to thee,	train	romeo-juliet
The more I have, for both are infinite.	train	romeo-juliet
Nurse calls within	train	romeo-juliet
I hear some noise within; dear love, adieu!	train	romeo-juliet
Anon, good nurse! Sweet Montague, be true.	train	romeo-juliet
Stay but a little, I will come again.	train	romeo-juliet
Exit, above	train	romeo-juliet
ROMEO	train	romeo-juliet
O blessed, blessed night! I am afeard.	train	romeo-juliet
Being in night, all this is but a dream,	train	romeo-juliet
Too flattering-sweet to be substantial.	train	romeo-juliet
Re-enter JULIET, above	train	romeo-juliet
JULIET	train	romeo-juliet
Three words, dear Romeo, and good night indeed.	train	romeo-juliet
If that thy bent of love be honourable,	train	romeo-juliet
Thy purpose marriage, send me word to-morrow,	train	romeo-juliet
By one that I'll procure to come to thee,	train	romeo-juliet
Where and what time thou wilt perform the rite;	train	romeo-juliet
And all my fortunes at thy foot I'll lay	train	romeo-juliet
And follow thee my lord throughout the world.	train	romeo-juliet
Nurse	train	romeo-juliet
[Within] Madam!	train	romeo-juliet
JULIET	train	romeo-juliet
I come, anon.--But if thou mean'st not well,	train	romeo-juliet
I do beseech thee--	train	romeo-juliet
Nurse	train	romeo-juliet
[Within] Madam!	train	romeo-juliet
JULIET	train	romeo-juliet
By and by, I come:--	train	romeo-juliet
To cease thy suit, and leave me to my grief:	train	romeo-juliet
To-morrow will I send.	train	romeo-juliet
ROMEO	train	romeo-juliet
So thrive my soul--	train	romeo-juliet
JULIET	train	romeo-juliet
A thousand times good night!	train	romeo-juliet
Exit, above	train	romeo-juliet
ROMEO	train	romeo-juliet
A thousand times the worse, to want thy light.	train	romeo-juliet
Love goes toward love, as schoolboys from	train	romeo-juliet
their books,	train	romeo-juliet
But love from love, toward school with heavy looks.	train	romeo-juliet
Retiring	train	romeo-juliet
Re-enter JULIET, above	train	romeo-juliet
JULIET	train	romeo-juliet
Hist! Romeo, hist! O, for a falconer's voice,	train	romeo-juliet
To lure this tassel-gentle back again!	train	romeo-juliet
Bondage is hoarse, and may not speak aloud;	train	romeo-juliet
Else would I tear the cave where Echo lies,	train	romeo-juliet
And make her airy tongue more hoarse than mine,	train	romeo-juliet
With repetition of my Romeo's name.	train	romeo-juliet
ROMEO	train	romeo-juliet
It is my soul that calls upon my name:	train	romeo-juliet
How silver-sweet sound lovers' tongues by night,	train	romeo-juliet
Like softest music to attending ears!	train	romeo-juliet
JULIET	train	romeo-juliet
Romeo!	train	romeo-juliet
ROMEO	train	romeo-juliet
My dear?	train	romeo-juliet
JULIET	train	romeo-juliet
At what o'clock to-morrow	train	romeo-juliet
Shall I send to thee?	train	romeo-juliet
ROMEO	train	romeo-juliet
At the hour of nine.	train	romeo-juliet
JULIET	train	romeo-juliet
I will not fail: 'tis twenty years till then.	train	romeo-juliet
I have forgot why I did call thee back.	train	romeo-juliet
ROMEO	train	romeo-juliet
Let me stand here till thou remember it.	train	romeo-juliet
JULIET	train	romeo-juliet
I shall forget, to have thee still stand there,	train	romeo-juliet
Remembering how I love thy company.	train	romeo-juliet
ROMEO	train	romeo-juliet
And I'll still stay, to have thee still forget,	train	romeo-juliet
Forgetting any other home but this.	train	romeo-juliet
JULIET	train	romeo-juliet
'Tis almost morning; I would have thee gone:	train	romeo-juliet
And yet no further than a wanton's bird;	train	romeo-juliet
Who lets it hop a little from her hand,	train	romeo-juliet
Like a poor prisoner in his twisted gyves,	train	romeo-juliet
And with a silk thread plucks it back again,	train	romeo-juliet
So loving-jealous of his liberty.	train	romeo-juliet
ROMEO	train	romeo-juliet
I would I were thy bird.	train	romeo-juliet
JULIET	train	romeo-juliet
Sweet, so would I:	train	romeo-juliet
Yet I should kill thee with much cherishing.	train	romeo-juliet
Good night, good night! parting is such	train	romeo-juliet
sweet sorrow,	train	romeo-juliet
That I shall say good night till it be morrow.	train	romeo-juliet
Exit above	train	romeo-juliet
ROMEO	train	romeo-juliet
Sleep dwell upon thine eyes, peace in thy breast!	train	romeo-juliet
Would I were sleep and peace, so sweet to rest!	train	romeo-juliet
Hence will I to my ghostly father's cell,	train	romeo-juliet
His help to crave, and my dear hap to tell.	train	romeo-juliet
Exit	train	romeo-juliet
here I was born, an what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth.	test	catcher
In the first place, that stuff bores me, and in the second place, my parents would have about two hemorrhages	test	catcher
apiece if I told anything pretty personal about them.	test	catcher
They're quite touchy about anything like that, especially my father.	test	catcher
They're nice and all	test	catcher
--I'm not saying that--but they're also touchy as hell.	test	catcher
Besides, I'm not going to tell you my whole goddam autobiography or anything.	test	catcher
I'll just tell you about this madman stuff that happened to me around last Christmas just before I got pretty run-down and had to come out here and take it easy.	test	catcher
I mean that's all I told D.B. about, and he's my brother and all.	test	catcher
He's in Hollywood.	test	catcher
That isn't too far from this crumby place, and he comes over and visits me practically every week end.	test	catcher
He's going to drive me home when I go home next month maybe.	test	catcher
He just got a Jaguar.	test	catcher
One of those little English jobs that can do around two hundred miles an hour.	test	catcher
It cost him damn near four thousand bucks.	test	catcher
He's got a lot of dough, now.	test	catcher
He didn't use to.	test	catcher
He used to be just a regular writer, when he was home.	test	catcher
He wrote this terrific book of short stories, The Secret Goldfish, in case you never heard of him.	test	catcher
The best one in it was The Secret Goldfish.	test	catcher
It was about this little kid that wouldn't let anybody look at his goldfish because he'd bought it with his own money.	test	catcher
It killed me.	test	catcher
Now he's out in Hollywood, D.B., being a prostitute.	test	catcher
If there's one thing I hate, it's the movies.	test	catcher
Don't even mention them to me.	test	catcher
school that's in Agerstown, Pennsylvania.	test	catcher
You probably heard of it.	test	catcher
You've probably seen the ads, anyway.	test	catcher
They advertise in about a thousand magazines, always showing some hotshot guy on a horse jumping over a fence.	test	catcher
Like as if all you ever did at Pencey was play polo all the time.	test	catcher
I never even once saw a horse anywhere near the place.	test	catcher
And underneath the guy on the horse's picture, it always says: Since 1888 we have been molding boys into splendid, clear-thinking young men.	test	catcher
Strictly for the birds.	test	catcher
They don't do any damn more molding at Pencey than they do at any other school.	test	catcher
And I didn't know anybody there that was splendid and clear-thinking and all.	test	catcher
Maybe two guys.	test	catcher
If that many.	test	catcher
And they probably came to Pencey that way.	test	catcher
with Saxon Hall was supposed to be a very big deal around Pencey.	test	catcher
It was the last game	test	catcher
Anyway, it was the Saturday of the football game with Saxon Hall.	test	catcher
The game Where I want to start telling is the day I left Pencey Prep.	test	catcher
Pencey Prep is this There were never many girls at all at the football games.	test	catcher
Only seniors were I forgot to tell you about that.	test	catcher
They kicked me out.	test	catcher
I wasn't supposed to come The reason I was standing way up on Thomsen Hill, instead of down at the game, of the year, and you were supposed to commit suicide or something if old Pencey didn't win.	test	catcher
I remember around three o'clock that afternoon I was standing way the hell up on top of Thomsen Hill, right next to this crazy cannon that was in the Revolutionary War and all.	test	catcher
You could see the whole field from there, and you could see the two teams bashing each other all over the place.	test	catcher
